,useridentifier,headers.x-session-id,id,event,timestamp,feed
86089,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC43c2Uwdm56M20yOQ==,/fn/nop,view_item,2021-05-20 06:03:18.323,"{'currency': 'INR', 'value': 1499, 'items': [[{'key': 'item_id', 'value': 'STRD-TEZY-LAZY-DOB-AP-IPH12PRO', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Tezy Lazy Stride Case Cover For iPhone 12 Pro', 'type': 'STRING'}, {'key': 'item_category', 'value': '1101', 'type': 'STRING'}, {'key': 'price', 'value': 1499, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
94790,4d96a0ca-262d-4f0f-b699-30817466a9f0,OXNOQXRxdXRKcmg3ZlNLVXNBREdiWFpYNkduZG9vQkk=,/fn/nop,screen_view_hp,2021-05-19 21:21:28.778,"{'screen_name': 'hp', 'filters': 'page~0'}"
94900,4d96a0ca-262d-4f0f-b699-30817466a9f0,OXNOQXRxdXRKcmg3ZlNLVXNBREdiWFpYNkduZG9vQkk=,/robots.txt,,2021-05-19 21:21:37.533,
102946,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC4zdG1wcGs3OThmZA==,/fn/nop,screen_view_cp,2021-05-20 12:06:49.266,"{'screen_name': 'cp', 'filters': ''}"
103578,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5wZDE4cHlhZnRw,/fn/nop,screen_view_hp,2021-05-20 07:20:07.813,"{'screen_name': 'hp', 'filters': 'page~1'}"
104801,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5wZDE4cHlhZnRw,/fn/nop,screen_view_hp,2021-05-20 07:20:07.813,"{'screen_name': 'hp', 'filters': 'page~1'}"
111620,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC56ejd4dXN3dG9q,/fn/nop,screen_view_hp,2021-05-20 06:06:30.774,"{'screen_name': 'hp', 'filters': 'page~1'}"
111682,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5uNHNxajdydG16cg==,/dailyobjects-rose-gold-metallic-regular-stash-pouch,,2021-05-20 06:04:32.533,
111866,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC56ejd4dXN3dG9q,/fn/nop,screen_view_hp,2021-05-20 06:05:37.363,"{'screen_name': 'hp', 'filters': 'page~0'}"
112299,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC56ejd4dXN3dG9q,/apple/iphone-12-pro-cases/lp,,2021-05-20 06:05:40.279,
112311,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC56ejd4dXN3dG9q,/dailyobjects-clear-pink-red-and-white-flowers-stride-clear-case-cover-for-iphone-12-pro/dp,,2021-05-20 06:06:15.926,
112607,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC56ejd4dXN3dG9q,/fn/nop,screen_view_hp,2021-05-20 06:06:30.772,"{'screen_name': 'hp', 'filters': 'page~1'}"
112838,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/olp,,2021-05-20 11:12:36.376,
113243,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/fn/nop,screen_view_olp,2021-05-20 11:12:32.396,"{'screen_name': 'olp', 'filters': 'type~completed'}"
113369,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/odp,,2021-05-20 11:12:59.800,
113466,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/odp,,2021-05-20 11:12:51.929,
113493,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/olp,,2021-05-20 11:13:05.106,
113524,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/fn/nop,screen_view_olp,2021-05-20 11:13:26.350,"{'screen_name': 'olp', 'filters': 'type~completed'}"
113576,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/olp,,2021-05-20 11:12:59.790,
114014,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/olp,,2021-05-20 11:13:23.990,
114596,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/odp,,2021-05-20 11:14:19.453,
114685,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/odp,,2021-05-20 11:12:43.481,
114761,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5vbnBibGV0ZGhubQ==,/dailyobjects-pink-hibiscus-stride-clear-case-cover-for-iphone-12-pro/dp,,2021-05-20 11:17:51.868,
114832,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5vbnBibGV0ZGhubQ==,/apple/iphone-12-pro-cases/lp,,2021-05-20 11:18:06.600,
120362,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5qNTJqMGYyMDByZg==,/fn/nop,view_item,2021-05-20 08:07:46.617,"{'currency': 'INR', 'value': 1999, 'items': [[{'key': 'item_id', 'value': 'COLO-JUMP-DOB-TLBI-CROSSBODY-BAG', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Colourblock Jumper - TallBoi Crossbody Bag', 'type': 'STRING'}, {'key': 'item_category', 'value': '1203', 'type': 'STRING'}, {'key': 'price', 'value': 1999, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
121108,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5qNTJqMGYyMDByZg==,/apple/iphone-12-cases/lp,,2021-05-20 08:09:17.625,
121917,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5qNTJqMGYyMDByZg==,/fn/pagination,,2021-05-20 08:11:31.818,
124125,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5qNTJqMGYyMDByZg==,/fn/nop,screen_view_lp,2021-05-20 08:18:12.756,"{'screen_name': 'lp', 'filters': 'brand~apple,cid~1101,model~iphone-12'}"
124651,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5qNTJqMGYyMDByZg==,/apple/iphone-12-cases/lp,,2021-05-20 08:18:24.351,
125079,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5sdjI4MGZlOXI3ag==,/fn/,,2021-05-20 08:19:07.999,
